accounttypelovdesc,approvedforonboarding,businesssegmentlovdesc,businesssubsegmentlovdesc,createdby,createdon,incorporationcountrycode,internalidentifiers_ccid,internalidentifiers_onboardingcaseid,internalidentifiers_scileid,internalidentifiers_scisubprofileid,justificationforclientonboarding,modifiedby,modifiedon,prospectclassificationlovdesc,prospectcountrycode,prospectdisqualifyreasondesc,prospectid,prospectname,prospectsourcelovdesc,prospectstatuslovdesc,prospecttierlovdesc,prospecttypelovdesc,prospectstagelovdesc,yearonrevenueprojectionusd000,yearthreerevenueprojectionusd000,yearfiverevenueprojectionusd000,caseid,legalentityid,casestage_lovdesc,priority,businessunit_lovdesc,casestatus_lovdesc,createdondate,casestatusmodifieddate,caseoriginaltargetcompletiondate,comments,kycreviewtype,kycreviewreasons,fccrecommendation
Non-Borrowing,True,Local Corporate,Middle Markets,Sarah Lee,2020-04-13,AU,769498,955045,902149,914251,Client meets all KYC requirements.,David Chen,2023-12-16,Co-Borrower / Guarantor,SG,Client decision,1708,Prospect_1708,User Referral,Silver,Portfolio,Standalone,Converted,2314.8,100994.07,104413.84,CASE107753,,Validation,Low,SINGAPORE,Open,2025-08-12,2024-03-29,2020-11-07,"Compliance review in progress, awaiting approvals.",New Business,New Business,False
Non-Borrowing,True,Financial Institution,Global Subsidiaries GC,Lisa Wong,2022-07-13,IN,532688,723098,899561,979472,High strategic importance.,Emily Davis,2022-10-17,Liquidity provider,AU,Auto disqualified,2299,Prospect_2299,User Referral,Qualified,Platinum,Subsidiary,Onboarding In Progress,34018.58,142587.54,59024.7,CASE107754,,Business Acceptance,High,INDIA,Closed,2024-11-14,2025-02-19,2022-02-12,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,False
Borrowing,False,Global Corporate,Origination GC,Kunal Mehta,2024-10-01,DE,975820,798142,674334,475722,High strategic importance.,Sarah Lee,2020-03-22,Liquidity provider,SG,Auto disqualified,2918,Prospect_2918,Self,Portfolio,Platinum,Subsidiary,Draft,49722.33,70033.02,107174.9,CASE107755,,Complete,Medium,HONG KONG,Open,2020-10-27,2024-09-18,2024-02-23,Client classified as low risk after initial screening.,Refresh KYC,New Business,True
Non-Borrowing,True,Financial Institution,Global Subsidiaries GC,Maria Garcia,2020-10-31,AU,853867,158538,903466,347976,Existing group relationship.,John Mathews,2021-11-22,Co-Borrower / Guarantor,US,Client decision,2637,Prospect_2637,Self,Gold,Gold,Group,Converted,5036.95,96426.4,124873.6,CASE107756,,Complete,Low,INDIA,Closed,2025-03-25,2024-01-17,2021-02-11,"High potential client, fast-track onboarding recommended.",New Business,New Business,False
Borrowing,True,Middle Market,Fintech - Other,Priya Nair,2022-10-20,SG,204826,354826,582931,919354,High strategic importance.,Lisa Wong,2021-11-11,Transaction participation counterparty / SPV,DE,Client decision,712,Prospect_712,User Referral,Converted,Gold,Group,Converted,97192.76,131639.47,159124.4,CASE107757,LE200713,Business Acceptance,Low,SINGAPORE,Open,2020-02-19,2023-12-25,2022-11-10,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,False
Borrowing,True,Middle Market,Local Corporates,John Mathews,2022-03-17,DE,459301,282539,782503,101115,Client meets all KYC requirements.,Priya Nair,2024-11-01,None,DE,Client decision,1375,Prospect_1375,Self,Lead,Portfolio,Group,Qualify,76515.55,21259.45,130542.09,CASE107758,,Validation,Medium,HONG KONG,Open,2024-02-06,2020-11-04,2024-11-15,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,False
Non-Borrowing,True,Global Corporate,Local Corporates,Priya Nair,2021-11-04,DE,514834,692627,994019,256827,High strategic importance.,Amit Singh,2021-10-31,None,DE,Client decision,1814,Prospect_1814,Self,Converted,Portfolio,Standalone,Onboarding In Progress,73769.88,136612.66,106773.42,CASE107759,LE201815,Business Acceptance,Low,SINGAPORE,Open,2020-10-04,2024-04-01,2021-04-09,Enhanced due diligence recommended based on risk factors.,New Business,Refresh KYC,True
Non-Borrowing,False,Financial Institution,Finance Companies,Sarah Lee,2023-09-10,HK,322227,170835,847508,964260,Existing group relationship.,David Chen,2023-05-18,Transaction participation counterparty / SPV,HK,Client decision,594,Prospect_594,User Referral,Silver,Portfolio,Group,Qualify,88013.78,49260.96,134799.54,CASE107760,,Validation,High,SINGAPORE,Closed,2022-09-09,2024-08-16,2021-11-16,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,True
Non-Borrowing,True,Middle Market,Fintech - Other,David Chen,2023-06-27,AU,801423,863973,767793,749898,Strong revenue potential.,John Mathews,2025-03-19,None,US,Auto disqualified,1669,Prospect_1669,Self,Qualified,Portfolio,Group,Draft,59029.79,64384.48,44825.73,CASE107761,,Business Acceptance,Low,HONG KONG,Closed,2025-10-28,2024-12-18,2020-07-01,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,False
Borrowing,True,Financial Institution,Local Corporates,Kunal Mehta,2020-09-14,SG,511220,247164,394137,112287,Strong revenue potential.,Rohit Sharma,2022-08-25,None,AU,Client decision,1801,Prospect_1801,Self,Converted,Portfolio,Standalone,Converted,43818.6,75685.67,186741.47,CASE107762,LE201802,Business Acceptance,Medium,INDIA,Open,2020-05-11,2024-07-20,2021-04-13,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,False
Borrowing,False,Middle Market,Middle Markets,Maria Garcia,2021-01-31,IN,225839,858813,473119,533342,High strategic importance.,Sarah Lee,2024-07-07,Liquidity provider,GB,Auto disqualified,2513,Prospect_2513,Self,Qualified,Portfolio,Subsidiary,Onboarding In Progress,48448.9,107622.17,129712.99,CASE107763,,Validation,Low,SINGAPORE,Closed,2023-09-25,2020-09-08,2022-12-22,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,False
Borrowing,True,Global Corporate,Local Corporates,Sarah Lee,2020-04-24,SG,544811,348950,831603,638150,Client meets all KYC requirements.,Amit Singh,2023-08-21,Liquidity provider,SG,Auto disqualified,2374,Prospect_2374,User Referral,Converted,Portfolio,Group,Onboarding In Progress,19705.92,23628.24,169211.35,CASE107764,LE202375,Complete,High,HONG KONG,Closed,2025-01-29,2022-01-22,2020-06-15,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,True
Borrowing,True,Middle Market,Hedge Funds,Maria Garcia,2025-05-19,SG,775580,719005,803998,856488,Strong revenue potential.,Sarah Lee,2020-02-13,Transaction participation counterparty / SPV,SG,Client decision,949,Prospect_949,Self,Disqualified,Gold,Group,Draft,38017.03,102805.03,43442.25,CASE107765,,Business Acceptance,Medium,INDIA,Closed,2022-07-07,2021-07-18,2025-01-31,Client onboarding completed successfully.,New Business,Refresh KYC,True
Borrowing,True,Financial Institution,Financial Sponsors - Portfolio Companies,Kunal Mehta,2024-11-04,GB,217811,297341,819609,531187,Existing group relationship.,John Mathews,2020-06-23,Co-Borrower / Guarantor,HK,Auto disqualified,69,Prospect_69,User Referral,Disqualified,Portfolio,Subsidiary,Qualify,79767.73,14286.81,136386.76,CASE107766,,Validation,High,INDIA,Closed,2022-02-04,2022-03-19,2025-09-05,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,False
Borrowing,False,Financial Institution,Origination GC,Priya Nair,2020-04-08,US,546099,301163,943245,447612,Existing group relationship.,Lisa Wong,2022-04-10,Co-Borrower / Guarantor,HK,Auto disqualified,1439,Prospect_1439,Self,Disqualified,Gold,Subsidiary,Converted,50219.5,57449.04,4805.29,CASE107767,,Validation,High,SINGAPORE,Open,2021-04-19,2024-03-29,2022-07-13,Onboarding delayed due to missing tax documents.,New Business,New Business,True
Non-Borrowing,True,Middle Market,Finance Companies,Amit Singh,2023-10-01,HK,260096,593181,236057,522766,Client meets all KYC requirements.,David Chen,2021-08-09,Liquidity provider,SG,Auto disqualified,875,Prospect_875,Self,Lead,Platinum,Subsidiary,Onboarding In Progress,18345.06,92778.5,29379.18,CASE107768,,Complete,Low,HONG KONG,Open,2022-07-04,2023-01-30,2023-01-29,Client onboarding completed successfully.,Refresh KYC,New Business,True
Non-Borrowing,False,Local Corporate,Global Subsidiaries GC,Sarah Lee,2022-10-22,US,772881,268393,692386,130107,High strategic importance.,Maria Garcia,2020-03-06,Co-Borrower / Guarantor,US,Auto disqualified,686,Prospect_686,Self,Converted,Portfolio,Group,Qualify,86233.48,21074.04,27131.25,CASE107769,LE200687,Business Acceptance,High,HONG KONG,Open,2024-03-28,2023-06-08,2020-03-15,Client onboarding completed successfully.,New Business,New Business,True
Borrowing,False,Global Corporate,Origination GC,David Chen,2022-10-09,IN,766113,891094,820235,650282,Client meets all KYC requirements.,Emily Davis,2020-06-04,None,AU,Auto disqualified,2179,Prospect_2179,User Referral,Gold,Portfolio,Group,Converted,65005.78,100167.05,177195.72,CASE107770,,Business Acceptance,Low,HONG KONG,Closed,2024-12-21,2023-11-24,2020-01-23,Onboarding delayed due to missing tax documents.,Refresh KYC,New Business,True
Non-Borrowing,False,Global Corporate,Global Subsidiaries GC,Lisa Wong,2021-03-17,IN,538553,920169,584750,769908,Existing group relationship.,Priya Nair,2020-08-15,Liquidity provider,AU,Auto disqualified,1298,Prospect_1298,User Referral,Silver,Platinum,Group,Draft,59852.45,143149.61,92811.64,CASE107771,,Validation,Low,SINGAPORE,Closed,2024-04-25,2021-03-02,2025-01-16,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,True
Non-Borrowing,False,Middle Market,Finance Companies,Rohit Sharma,2025-04-23,SG,846144,916977,319067,620034,Client meets all KYC requirements.,Priya Nair,2024-11-05,Co-Borrower / Guarantor,HK,Auto disqualified,439,Prospect_439,Self,Converted,Platinum,Subsidiary,Draft,96929.45,143492.92,135909.74,CASE107772,LE200440,Validation,Medium,INDIA,Closed,2023-04-29,2023-03-31,2024-12-26,Client classified as low risk after initial screening.,New Business,New Business,True
Borrowing,False,Middle Market,Finance Companies,Emily Davis,2022-09-03,US,877385,231333,949535,303222,Client meets all KYC requirements.,Sarah Lee,2023-05-16,Co-Borrower / Guarantor,SG,Auto disqualified,1903,Prospect_1903,Self,Gold,Platinum,Standalone,Draft,92522.34,87886.41,194952.45,CASE107773,,Business Acceptance,Low,SINGAPORE,Open,2024-01-01,2022-08-18,2020-11-05,"Compliance review in progress, awaiting approvals.",New Business,New Business,False
Borrowing,False,Local Corporate,Financial Sponsors - Portfolio Companies,John Mathews,2023-10-27,HK,131325,874663,791911,800636,Strong revenue potential.,John Mathews,2025-01-30,None,GB,Client decision,2067,Prospect_2067,User Referral,Portfolio,Platinum,Standalone,Draft,14651.89,77816.94,174940.69,CASE107774,,Complete,Low,HONG KONG,Closed,2023-09-22,2025-01-18,2024-09-21,Client onboarding completed successfully.,Refresh KYC,New Business,False
Non-Borrowing,False,Global Corporate,Hedge Funds,Kunal Mehta,2020-08-10,DE,256407,557683,733581,861552,High strategic importance.,John Mathews,2024-07-23,Liquidity provider,HK,Client decision,2318,Prospect_2318,Self,Qualified,Platinum,Group,Qualify,74236.38,65316.27,122049.02,CASE107775,,Complete,High,SINGAPORE,Open,2024-03-04,2020-01-19,2020-09-02,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,False
Borrowing,True,Local Corporate,Fintech - Other,Sarah Lee,2023-09-28,HK,764896,721366,837334,904898,High strategic importance.,Sarah Lee,2020-10-03,Co-Borrower / Guarantor,IN,Client decision,765,Prospect_765,User Referral,Portfolio,Gold,Subsidiary,Qualify,90359.89,68394.06,51436.76,CASE107776,,Complete,Low,INDIA,Closed,2021-06-30,2023-01-06,2021-02-13,Onboarding delayed due to missing tax documents.,New Business,New Business,False
Borrowing,True,Global Corporate,Global Subsidiaries GC,Priya Nair,2025-10-29,DE,393229,934408,994021,736988,Client meets all KYC requirements.,Amit Singh,2023-06-30,Co-Borrower / Guarantor,DE,Client decision,339,Prospect_339,User Referral,Converted,Platinum,Subsidiary,Draft,86172.46,85135.91,31377.32,CASE107777,LE200340,Validation,Medium,SINGAPORE,Open,2024-08-01,2022-03-18,2020-05-07,Client onboarding completed successfully.,New Business,Refresh KYC,True
Non-Borrowing,False,Middle Market,Global Subsidiaries GC,Priya Nair,2022-08-27,SG,526503,529583,634392,474035,High strategic importance.,Sarah Lee,2023-05-18,Co-Borrower / Guarantor,GB,Client decision,2706,Prospect_2706,Self,Converted,Platinum,Subsidiary,Qualify,88897.07,65214.16,136404.42,CASE107778,LE202707,Business Acceptance,Medium,INDIA,Closed,2021-03-27,2022-10-28,2022-06-21,Onboarding delayed due to missing tax documents.,New Business,Refresh KYC,True
Borrowing,False,Global Corporate,FI - Financial Sponsors,Maria Garcia,2020-10-25,HK,370144,972311,347277,367065,High strategic importance.,David Chen,2021-08-19,Transaction participation counterparty / SPV,AU,Client decision,445,Prospect_445,Self,Disqualified,Portfolio,Standalone,Draft,80625.62,63956.42,67962.08,CASE107779,,Business Acceptance,Medium,SINGAPORE,Open,2023-07-15,2021-09-27,2021-03-25,Enhanced due diligence recommended based on risk factors.,Refresh KYC,Refresh KYC,False
Non-Borrowing,False,Global Corporate,Finance Companies,Lisa Wong,2024-12-01,GB,442921,575521,256003,862814,Existing group relationship.,Emily Davis,2025-01-23,None,SG,Auto disqualified,2628,Prospect_2628,Self,Portfolio,Gold,Group,Draft,98882.31,43249.2,84974.17,CASE107780,,Complete,Low,SINGAPORE,Open,2021-05-03,2023-04-30,2024-12-12,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,False
Non-Borrowing,False,Global Corporate,Finance Companies,Maria Garcia,2021-01-26,DE,783551,245983,613491,717059,High strategic importance.,David Chen,2025-08-23,Transaction participation counterparty / SPV,HK,Client decision,808,Prospect_808,User Referral,Portfolio,Gold,Group,Converted,27272.38,101668.83,135177.18,CASE107781,,Validation,Low,INDIA,Closed,2020-05-03,2021-02-28,2022-09-16,Client classified as low risk after initial screening.,New Business,New Business,True
Non-Borrowing,False,Local Corporate,Financial Sponsors - Portfolio Companies,John Mathews,2025-01-02,US,328914,669596,310207,336234,Client meets all KYC requirements.,John Mathews,2025-06-25,Co-Borrower / Guarantor,DE,Auto disqualified,2676,Prospect_2676,Self,Qualified,Platinum,Subsidiary,Onboarding In Progress,15914.32,130962.92,160676.48,CASE107782,,Complete,High,INDIA,Open,2024-12-09,2024-09-08,2023-06-19,Client onboarding completed successfully.,New Business,Refresh KYC,True
Non-Borrowing,False,Local Corporate,Financial Sponsors - Portfolio Companies,Kunal Mehta,2021-05-26,IN,195160,297642,760229,660349,High strategic importance.,Rohit Sharma,2022-10-18,Liquidity provider,HK,Auto disqualified,1380,Prospect_1380,Self,Converted,Gold,Group,Qualify,7581.52,5059.77,111456.45,CASE107783,LE201381,Business Acceptance,Low,INDIA,Closed,2020-02-15,2021-09-28,2024-10-28,Client onboarding completed successfully.,Refresh KYC,Refresh KYC,False
Non-Borrowing,True,Global Corporate,Fintech - Other,David Chen,2020-12-16,HK,112967,327538,989743,567643,Client meets all KYC requirements.,Priya Nair,2023-08-23,None,US,Auto disqualified,2298,Prospect_2298,User Referral,Lead,Portfolio,Subsidiary,Draft,82364.31,144575.18,171482.97,CASE107784,,Complete,Medium,SINGAPORE,Open,2023-11-25,2024-10-26,2022-04-11,Client classified as low risk after initial screening.,New Business,New Business,False
Borrowing,True,Financial Institution,Global Subsidiaries GC,Sarah Lee,2020-09-05,DE,224481,216227,244368,352307,Strong revenue potential.,Rohit Sharma,2023-07-26,Liquidity provider,AU,Auto disqualified,1530,Prospect_1530,User Referral,Silver,Platinum,Standalone,Qualify,45263.0,108655.36,168443.89,CASE107785,,Validation,Medium,HONG KONG,Open,2024-02-05,2022-03-20,2021-12-18,Client onboarding completed successfully.,New Business,Refresh KYC,False
Borrowing,False,Local Corporate,Finance Companies,Maria Garcia,2020-05-16,HK,537790,998690,766561,298231,Client meets all KYC requirements.,Emily Davis,2022-11-30,None,SG,Auto disqualified,1580,Prospect_1580,Self,Disqualified,Portfolio,Group,Onboarding In Progress,25807.65,1424.66,110578.69,CASE107786,,Complete,Medium,HONG KONG,Open,2025-07-31,2021-05-05,2021-01-25,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,False
Borrowing,False,Middle Market,Finance Companies,John Mathews,2024-03-25,HK,506462,658862,449905,656985,Existing group relationship.,John Mathews,2020-08-03,Transaction participation counterparty / SPV,AU,Client decision,166,Prospect_166,Self,Converted,Platinum,Group,Onboarding In Progress,67723.01,14987.77,16600.33,CASE107787,LE200167,Business Acceptance,High,HONG KONG,Closed,2020-02-04,2025-07-30,2024-02-16,Enhanced due diligence recommended based on risk factors.,New Business,New Business,False
Borrowing,False,Middle Market,Hedge Funds,Emily Davis,2023-07-07,SG,303075,753671,682892,186463,Client meets all KYC requirements.,Lisa Wong,2023-03-09,Transaction participation counterparty / SPV,IN,Client decision,131,Prospect_131,User Referral,Portfolio,Platinum,Group,Qualify,84.71,140008.3,137467.63,CASE107788,,Business Acceptance,Low,HONG KONG,Open,2024-01-31,2025-03-31,2024-01-12,"High potential client, fast-track onboarding recommended.",New Business,New Business,True
Non-Borrowing,True,Global Corporate,Hedge Funds,John Mathews,2020-09-23,IN,597591,931555,331641,911661,Strong revenue potential.,Amit Singh,2021-12-22,Co-Borrower / Guarantor,AU,Auto disqualified,1511,Prospect_1511,User Referral,Qualified,Gold,Standalone,Onboarding In Progress,19669.88,100644.91,75462.34,CASE107789,,Business Acceptance,Low,SINGAPORE,Closed,2021-10-02,2025-04-06,2022-06-26,Client onboarding completed successfully.,New Business,New Business,False
Non-Borrowing,False,Middle Market,FI - Financial Sponsors,David Chen,2021-06-06,DE,638635,127050,174451,588611,Client meets all KYC requirements.,Emily Davis,2022-10-15,Transaction participation counterparty / SPV,SG,Auto disqualified,526,Prospect_526,Self,Portfolio,Portfolio,Subsidiary,Onboarding In Progress,37838.94,9087.61,155936.6,CASE107790,,Business Acceptance,Medium,INDIA,Closed,2024-03-09,2023-01-17,2022-09-14,Client classified as low risk after initial screening.,Refresh KYC,Refresh KYC,True
Borrowing,True,Local Corporate,Financial Sponsors - Portfolio Companies,Priya Nair,2020-09-10,US,624284,376304,296111,595756,Existing group relationship.,Maria Garcia,2021-05-26,Transaction participation counterparty / SPV,AU,Auto disqualified,1300,Prospect_1300,Self,Disqualified,Gold,Group,Qualify,21224.76,50628.91,14764.28,CASE107791,,Validation,Medium,SINGAPORE,Closed,2020-05-27,2023-01-24,2025-03-16,Client classified as low risk after initial screening.,Refresh KYC,New Business,True
Non-Borrowing,True,Financial Institution,Fintech - Other,Priya Nair,2024-12-15,HK,429502,609960,125869,907168,Client meets all KYC requirements.,John Mathews,2024-06-28,Liquidity provider,DE,Auto disqualified,591,Prospect_591,User Referral,Disqualified,Gold,Standalone,Draft,34259.03,132627.79,91124.98,CASE107792,,Business Acceptance,Medium,SINGAPORE,Open,2024-06-20,2021-08-28,2023-08-05,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,True
Borrowing,True,Financial Institution,Local Corporates,Sarah Lee,2020-08-12,GB,577160,447751,283613,430230,Client meets all KYC requirements.,Kunal Mehta,2025-07-11,Co-Borrower / Guarantor,HK,Client decision,1100,Prospect_1100,User Referral,Portfolio,Platinum,Group,Onboarding In Progress,16539.81,128359.61,83377.17,CASE107793,,Validation,High,SINGAPORE,Open,2025-12-17,2022-01-11,2022-04-07,Client onboarding completed successfully.,Refresh KYC,New Business,True
Borrowing,False,Financial Institution,Local Corporates,Emily Davis,2023-05-19,AU,770742,164577,161060,798737,Existing group relationship.,Amit Singh,2021-08-11,Liquidity provider,HK,Client decision,742,Prospect_742,User Referral,Gold,Portfolio,Subsidiary,Onboarding In Progress,397.8,28601.36,37540.27,CASE107794,,Validation,Medium,SINGAPORE,Open,2025-07-11,2021-08-17,2021-02-20,Pending additional KYC documentation from client.,Refresh KYC,New Business,False
Borrowing,False,Middle Market,Global Subsidiaries GC,John Mathews,2024-11-03,DE,311207,137558,735223,887724,High strategic importance.,Emily Davis,2020-09-07,Transaction participation counterparty / SPV,IN,Client decision,2627,Prospect_2627,User Referral,Portfolio,Portfolio,Standalone,Draft,49633.03,63490.8,110436.91,CASE107795,,Complete,High,INDIA,Open,2022-12-29,2021-02-08,2025-07-17,Enhanced due diligence recommended based on risk factors.,New Business,New Business,False
Non-Borrowing,True,Global Corporate,Finance Companies,Priya Nair,2020-09-26,SG,444443,736076,128456,392002,Strong revenue potential.,Kunal Mehta,2024-11-08,Transaction participation counterparty / SPV,GB,Client decision,932,Prospect_932,Self,Converted,Portfolio,Standalone,Qualify,7050.71,112884.74,105873.16,CASE107796,LE200933,Complete,High,HONG KONG,Open,2023-03-30,2022-01-31,2023-09-02,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,True
Non-Borrowing,True,Middle Market,Global Subsidiaries GC,Maria Garcia,2021-02-21,US,198032,969152,787982,239143,Strong revenue potential.,Lisa Wong,2024-12-19,Co-Borrower / Guarantor,SG,Client decision,1861,Prospect_1861,Self,Gold,Gold,Group,Draft,72033.0,102975.01,95657.27,CASE107797,,Business Acceptance,Low,SINGAPORE,Open,2021-01-14,2023-05-20,2021-06-21,Client classified as low risk after initial screening.,New Business,Refresh KYC,False
Non-Borrowing,True,Global Corporate,Origination GC,Kunal Mehta,2020-08-16,HK,216815,855733,502908,462001,Client meets all KYC requirements.,Amit Singh,2024-01-29,Co-Borrower / Guarantor,SG,Client decision,807,Prospect_807,Self,Portfolio,Portfolio,Standalone,Qualify,6140.81,14948.72,66093.03,CASE107798,,Business Acceptance,High,INDIA,Closed,2021-06-02,2021-06-21,2024-03-18,Enhanced due diligence recommended based on risk factors.,Refresh KYC,Refresh KYC,True
Non-Borrowing,True,Financial Institution,Finance Companies,Priya Nair,2020-08-01,US,442440,336585,279002,858433,Strong revenue potential.,Kunal Mehta,2023-01-01,Liquidity provider,SG,Client decision,1916,Prospect_1916,Self,Qualified,Portfolio,Group,Converted,76652.8,89302.43,183544.54,CASE107799,,Validation,Medium,INDIA,Closed,2022-02-21,2021-03-17,2021-02-13,"High potential client, fast-track onboarding recommended.",New Business,Refresh KYC,False
Borrowing,False,Local Corporate,Local Corporates,John Mathews,2023-04-22,SG,764167,111467,788115,881363,Existing group relationship.,David Chen,2022-07-09,Transaction participation counterparty / SPV,US,Client decision,2942,Prospect_2942,Self,Qualified,Platinum,Subsidiary,Onboarding In Progress,6157.17,3794.22,157319.12,CASE107800,,Complete,Medium,INDIA,Closed,2023-11-08,2025-05-18,2022-01-27,Client onboarding completed successfully.,New Business,Refresh KYC,True
Non-Borrowing,True,Middle Market,Local Corporates,David Chen,2024-04-11,DE,264275,456506,748233,587749,Existing group relationship.,David Chen,2022-03-15,None,DE,Auto disqualified,1293,Prospect_1293,User Referral,Lead,Portfolio,Subsidiary,Converted,97323.01,54215.58,168974.64,CASE107801,,Complete,High,HONG KONG,Closed,2024-11-12,2022-02-24,2021-10-11,Enhanced due diligence recommended based on risk factors.,Refresh KYC,New Business,False
Non-Borrowing,False,Local Corporate,FI - Financial Sponsors,Kunal Mehta,2024-07-03,AU,531001,177322,500401,944058,High strategic importance.,David Chen,2023-06-06,Liquidity provider,AU,Client decision,456,Prospect_456,User Referral,Disqualified,Portfolio,Standalone,Draft,36156.12,77656.6,56478.99,CASE107802,,Validation,Medium,SINGAPORE,Closed,2021-12-10,2025-10-03,2022-11-12,Client onboarding completed successfully.,Refresh KYC,New Business,False
Non-Borrowing,True,Financial Institution,Local Corporates,Amit Singh,2021-01-27,GB,807661,717257,933402,824625,Client meets all KYC requirements.,Amit Singh,2022-08-04,None,IN,Auto disqualified,1848,Prospect_1848,Self,Lead,Platinum,Standalone,Converted,30002.42,6447.26,191850.94,CASE107803,,Business Acceptance,High,SINGAPORE,Closed,2023-07-26,2021-01-14,2020-04-04,Client onboarding completed successfully.,New Business,Refresh KYC,True
Borrowing,False,Global Corporate,Financial Sponsors - Portfolio Companies,David Chen,2024-08-10,DE,560299,445549,967537,240344,Existing group relationship.,David Chen,2024-06-27,Liquidity provider,DE,Auto disqualified,1065,Prospect_1065,Self,Portfolio,Platinum,Subsidiary,Converted,30542.73,126637.23,65203.85,CASE107804,,Validation,Low,HONG KONG,Closed,2024-06-14,2020-04-25,2020-07-11,Pending additional KYC documentation from client.,New Business,Refresh KYC,False
Borrowing,True,Local Corporate,Fintech - Other,Priya Nair,2022-08-12,HK,940474,153325,632911,800795,Client meets all KYC requirements.,Lisa Wong,2020-03-19,Transaction participation counterparty / SPV,GB,Auto disqualified,1972,Prospect_1972,Self,Portfolio,Portfolio,Subsidiary,Converted,24168.49,61994.28,20645.55,CASE107805,,Complete,High,INDIA,Open,2021-09-08,2022-08-10,2020-05-14,Onboarding delayed due to missing tax documents.,New Business,Refresh KYC,True
Non-Borrowing,False,Middle Market,Finance Companies,David Chen,2020-02-13,GB,649998,220935,642491,891409,Client meets all KYC requirements.,Lisa Wong,2023-02-09,Transaction participation counterparty / SPV,SG,Auto disqualified,435,Prospect_435,User Referral,Qualified,Platinum,Subsidiary,Qualify,17722.55,60838.15,163945.87,CASE107806,,Business Acceptance,Medium,INDIA,Closed,2024-06-22,2022-11-20,2021-07-05,"Compliance review in progress, awaiting approvals.",Refresh KYC,Refresh KYC,True
Non-Borrowing,False,Local Corporate,Global Subsidiaries GC,Rohit Sharma,2025-01-31,SG,950910,614026,312772,787112,Strong revenue potential.,Maria Garcia,2023-08-01,Liquidity provider,AU,Client decision,1357,Prospect_1357,User Referral,Silver,Portfolio,Group,Onboarding In Progress,82945.0,16469.71,7499.6,CASE107807,,Business Acceptance,High,HONG KONG,Open,2022-10-06,2024-12-22,2023-07-05,Enhanced due diligence recommended based on risk factors.,New Business,New Business,False
Non-Borrowing,False,Local Corporate,Finance Companies,Rohit Sharma,2024-04-21,GB,665699,425909,937961,482655,High strategic importance.,David Chen,2022-05-18,Liquidity provider,GB,Client decision,1297,Prospect_1297,Self,Silver,Gold,Group,Qualify,46129.85,71250.65,194324.5,CASE107808,,Business Acceptance,Medium,HONG KONG,Closed,2023-07-08,2022-04-15,2022-03-19,Enhanced due diligence recommended based on risk factors.,New Business,New Business,True
Non-Borrowing,True,Middle Market,Finance Companies,Rohit Sharma,2025-03-16,SG,377917,181544,726963,866614,Existing group relationship.,Maria Garcia,2022-01-20,None,GB,Auto disqualified,2814,Prospect_2814,Self,Silver,Gold,Standalone,Qualify,9984.45,13014.43,22939.99,CASE107809,,Validation,Medium,HONG KONG,Open,2024-10-30,2021-03-01,2025-07-16,"High potential client, fast-track onboarding recommended.",Refresh KYC,Refresh KYC,False
Borrowing,False,Global Corporate,Local Corporates,Amit Singh,2024-10-19,AU,704981,743790,773189,285146,High strategic importance.,Kunal Mehta,2023-11-21,Transaction participation counterparty / SPV,GB,Client decision,2457,Prospect_2457,Self,Converted,Platinum,Subsidiary,Converted,81886.53,22743.4,27869.01,CASE107810,LE202458,Complete,Low,INDIA,Open,2020-04-12,2025-02-01,2023-09-30,Client onboarding completed successfully.,Refresh KYC,New Business,True
Non-Borrowing,True,Middle Market,Local Corporates,Kunal Mehta,2021-02-18,GB,115710,638336,631368,169314,Client meets all KYC requirements.,Rohit Sharma,2021-12-15,Co-Borrower / Guarantor,HK,Auto disqualified,573,Prospect_573,User Referral,Converted,Platinum,Standalone,Onboarding In Progress,86082.94,125235.99,5100.47,CASE107811,LE200574,Business Acceptance,Low,SINGAPORE,Closed,2020-05-23,2023-08-31,2020-12-08,Onboarding delayed due to missing tax documents.,Refresh KYC,Refresh KYC,False
Non-Borrowing,False,Financial Institution,Origination GC,Rohit Sharma,2023-10-23,US,747073,128728,514422,126104,Existing group relationship.,David Chen,2025-10-03,None,AU,Client decision,240,Prospect_240,Self,Portfolio,Platinum,Group,Qualify,92350.64,102387.22,22166.81,CASE107812,,Complete,High,INDIA,Open,2024-04-17,2021-02-17,2025-12-23,Pending additional KYC documentation from client.,Refresh KYC,Refresh KYC,True
